"half_hour_starttime","trip_count"
2024-09-17 18:00:00.000,780
2024-09-17 17:30:00.000,735
2024-09-17 17:00:00.000,712
2024-09-17 18:30:00.000,585
2024-09-17 19:00:00.000,512
2024-09-17 16:30:00.000,500
2024-09-17 08:30:00.000,450
2024-09-17 19:30:00.000,400
2024-09-17 09:00:00.000,391
2024-09-17 16:00:00.000,387
2024-09-17 15:30:00.000,378
2024-09-17 13:30:00.000,328
2024-09-17 15:00:00.000,327
2024-09-17 08:00:00.000,323
2024-09-17 14:00:00.000,322
2024-09-17 09:30:00.000,319
2024-09-17 20:00:00.000,318
2024-09-17 13:00:00.000,317
2024-09-17 12:00:00.000,308
2024-09-17 12:30:00.000,292
2024-09-17 20:30:00.000,272
2024-09-17 11:30:00.000,269
2024-09-17 14:30:00.000,257
2024-09-17 10:30:00.000,252
2024-09-17 10:00:00.000,249
2024-09-17 07:30:00.000,244
2024-09-17 11:00:00.000,241
2024-09-17 21:00:00.000,235
2024-09-17 21:30:00.000,215
2024-09-17 06:30:00.000,203
2024-09-17 22:00:00.000,185
2024-09-17 07:00:00.000,170
2024-09-17 22:30:00.000,152
2024-09-17 23:00:00.000,118
2024-09-17 06:00:00.000,113
2024-09-17 23:30:00.000,77
2024-09-17 05:30:00.000,60
2024-09-17 00:00:00.000,56
2024-09-17 00:30:00.000,35
2024-09-17 01:00:00.000,28
2024-09-17 05:00:00.000,28
2024-09-17 01:30:00.000,20
2024-09-17 04:30:00.000,17
2024-09-17 02:00:00.000,11
2024-09-17 03:30:00.000,10
2024-09-17 02:30:00.000,9
2024-09-17 03:00:00.000,8
2024-09-17 04:00:00.000,7
